ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Description,Tax status,Tax class,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Position
3001,simple,NN03,Pastel love,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,125,"Occasions > Anniversary, Best Sellers, Occasions > Birthday, Floral > Bouquet, Special Celebrations > Christmas, Special Celebrations > Mother&#039;s day, Occasions > New Baby, Color > Pastel love, Special Celebrations > Valentine's day",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN03.jpg,-123
3005,simple,NN05,Loving Mum,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,105,"Occasions > Anniversary, Floral > Arrangement, Best Sellers, Occasions > Birthday, Special Celebrations > Mother&#039;s day, Occasions > New Baby, Color > Pastel love, Perfect Spot, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN05.jpg,0
3006,simple,NN10,Vivid Delights,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,185,"Color > Bright Sunrise, Occasions > Sympathy, Floral > Tropical\, Orchids and Natives",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN10.jpg,0
3014,simple,NN20,RISING SUN,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,105,"Color > Bright Sunrise, Special Celebrations > Christmas, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN20.jpg,0
3019,simple,NN22,Universal Love,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,115,"Occasions > Anniversary, Best Sellers, Occasions > Birthday, Special Celebrations > Mother&#039;s day, Color > Pastel love, Floral > Posy, Occasions > Sympathy, Special Celebrations > Valentine's day",HOME,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN22.jpg,-98
3021,simple,NN25,Royal Romance,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,125,"Occasions > Anniversary, Floral > Arrangement, Occasions > Birthday, Special Celebrations > Mother&#039;s day, Color > Pastel love, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN25.jpg,-92
3023,simple,NN30,Garden Spectacle,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,90,"Occasions > Anniversary, Best Sellers, Occasions > Birthday, Color > Bright Sunset, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > New Baby, Floral > Posy, Occasions > Thank You",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN30.jpg,0
3029,simple,NN33,CHALK IT NATURE,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,99,"Occasions > Anniversary, Best Sellers, Occasions > Birthday, Floral > Bouquet, Special Celebrations > Christmas, Special Celebrations > Easter, Occasions > New Baby, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN33.jpg,0
3031,simple,NN37,Love Letters,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,85,"Occasions > Anniversary, Floral > Arrangement, Best Sellers, Occasions > Birthday, Color > Bright Sunrise, Special Celebrations > Christmas, Occasions > Thank You, Special Celebrations > Valentine's day",,"https://magnoliaflowers.com.au/wp-content/uploads/2020/10/8A3230A6-9D53-40D3-A974-53AB7B2398EB.jpeg  
https://magnoliaflowers.com.au/wp-content/uploads/2020/10/8A3230A6-9D53-40D3-A974-53AB7B2398EB.jpeg ",-114
3035,simple,NN47,Pastel Wishes,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,125,"Occasions > Anniversary, Floral > Arrangement, Occasions > Birthday, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > New Baby, Color > Pastel love, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN47.jpg,0
3037,simple,NN48,Sunbeam Smiles,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,125,"Best Sellers, Occasions > Birthday, Floral > Bouquet, Color > Bright Sunrise, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > New Baby, Perfect Spot, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN48.jpg,0
3042,simple,NN51,Serenity,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,125,"Special Celebrations > Easter, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN51.jpg,0
3044,simple,NN56,Roses Heart,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,195,"Color > Bright Sunset, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN56.jpg,0
3046,simple,NN63,Watercolour Wishes,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,95,Best Sellers,,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN63.jpg,0
3048,simple,NN64,Summer Breeze,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,185,"Floral > Arrangement, Color > Bright Sunrise, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > Sympathy, Occasions > Thank You",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN64.jpg,0
3050,simple,NN68,Never-Ending Love,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,120,"Occasions > Anniversary, Floral > Arrangement, Color > Bright Sunrise, Special Celebrations > Valentine's day",,"https://magnoliaflowers.com.au/wp-content/uploads/2020/10/flower-web-.png, https://magnoliaflowers.com.au/wp-content/uploads/2020/10/flower-web-.png",-120
3052,simple,NN69,Enchanted Wishes,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,125,"Occasions > Anniversary, Floral > Arrangement, Best Sellers, Occasions > Birthday, Special Celebrations > Mother&#039;s day, Color > Pastel love, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN69.jpg,0
3058,simple,NN76,Tropical Love,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,145,"Special Celebrations > Christmas, Occasions > Sympathy, Floral > Tropical\, Orchids and Natives, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN76.jpg,0
3061,simple,NN78,Gerbera Spot,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,85,"Floral > Arrangement, Best Sellers, Color > Bright Sunrise, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > Sympathy, Occasions > Thank You",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN78.jpg,0
3063,simple,NN81,Dreamy White,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,105,"Floral > Arrangement, Best Sellers, Special Celebrations > Christmas, Special Celebrations > Easter, Perfect Spot, Occasions > Sympathy, Occasions > Thank You, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN81.jpg,-118
3067,simple,NN90,Heartfelt Memories,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,145,"Floral > Arrangement, Best Sellers, Color > Bright Sunset, Special Celebrations > Mother&#039;s day, Perfect Spot, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN90.jpg,0
3084,simple,NN101,Innocent Love,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,109,"Floral > Arrangement, Best Sellers, Special Celebrations > Easter, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN101.jpg,0
3088,simple,NN104,Cherished Memories,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,70,"Occasions > Anniversary, Floral > Arrangement, Best Sellers, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN104.jpg,-118
3089,simple,NN105,With Distinction,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,105,"Floral > Arrangement, Special Celebrations > Christmas, Color > Pastel love, Occasions > Sympathy, Occasions > Thank You, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN105.jpg,0
3093,simple,NN113,Rebecca Trop,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,125,"Color > Bright Sunrise, Special Celebrations > Christmas, Perfect Spot, Occasions > Sympathy, Occasions > Thank You, Floral > Tropical\, Orchids and Natives",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN113.jpg,0
3102,simple,NN121,Cotton Candy,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,75,"Occasions > Anniversary, Best Sellers, Occasions > Birthday, Special Celebrations > Christmas, Floral > Posy, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN121.jpg,0
3107,simple,NN130,Vibrant Energy,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,85,"Occasions > Birthday, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > New Baby, Color > Pastel love, Perfect Spot, Floral > Posy, Occasions > Thank You",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN130.jpg,0
3111,simple,NN134,Sunflower Bouquet,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,95,"Floral > Bouquet, Color > Bright Sunrise, Floral > Tropical\, Orchids and Natives",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN134.jpg,0
3115,simple,NN152,Thanks A Million,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.
\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,90,"Occasions > Anniversary, Best Sellers, Occasions > Birthday, Floral > Bouquet, Special Celebrations > Mother&#039;s day, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN152.jpg,-112
3117,simple,NN153,Divine Light,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,185,"Perfect Spot, Occasions > Sympathy, Color > White simplicity",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN153.jpg,0
3119,simple,NN159,Her Parties,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,0,99,"Best Sellers, Occasions > Birthday, Floral > Bouquet, Color > Bright Sunrise, Occasions > Get Well, Special Celebrations > Mother&#039;s day, Occasions > Sympathy",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN159.jpg,0
3126,simple,NN166,Nunkeri,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,75,"Occasions > Anniversary, Occasions > Birthday, Color > Bright Sunrise, Special Celebrations > Christmas, Occasions > New Baby, Occasions > Sympathy, Floral > Tropical\, Orchids and Natives",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN166.jpg,0
3130,simple,NN173,Tropical Dream,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,145,"Occasions > Anniversary, Floral > Arrangement, Occasions > Birthday, Color > Bright Sunrise, Special Celebrations > Christmas, Occasions > Get Well, Occasions > New Baby, Perfect Spot, Occasions > Sympathy, Occasions > Thank You",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN173.jpg,0
3140,simple,NN182,Just Peachy,1,0,visible,"Flowers are subject to seasonal availability. In the event that any of the flowers are unavailable, the florist will substitute with a similar flower in the same shape, style and colour. Stem count, packaging and container may vary.\nFlowers may be delivered in bud to provide longer enjoyment.",taxable,,1,0,0,1,145,"Best Sellers, Floral > Bouquet, Color > Bright Sunrise, Special Celebrations > Christmas, Special Celebrations > Easter, Occasions > Get Well, Occasions > Sympathy, Occasions > Thank You",,https://magnoliaflowers.com.au/wp-content/uploads/2020/10/NN182.jpg,0
